star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 27913,HIP 27913,HD 39587,GJ 222 A,2MASS J05542300+2016344 A,1,1,1,1,0,0,0,05h54m23.08s,20.276415,+20d16m35.1s,8.66,,,4.39,0.02,0.59,0.01,G0V,1.17,0.06
HIP 28103,HIP 28103,HD 40136,GJ 225,2MASS J05562429-1410036,1,1,1,0,1,0,0,05h56m24.32s,-14.168038,-14d10m04.9s,14.88,,,3.71,0.01,0.34,0.01,F1V,6.02,0.05
HIP 28360,HIP 28360,HD 40183,GJ 3375,2MASS J05593172+4456508,1,1,0,0,0,0,0,05h59m31.77s,44.947435,+44d56m50.8s,24.87,0.25,-0.25,1.89,0.01,0.07,0.01,A2V,110.91,0.05
HIP 29271,HIP 29271,HD 43834,GJ 231,2MASS J06101448-7445107,1,1,1,1,0,0,0,06h10m14.20s,-74.752528,-74d45m09.1s,10.2,,,5.08,0.01,0.71,0.02,G6V,0.91,0.1
7 CMa,HIP 31592,HD 47205,GJ 239.1,2MASS J06364103-1915210,1,1,0,0,0,1,1,06h36m41.00s,-19.255709,-19d15m20.6s,19.75,,,3.95,0.02,1.06,0.02,K1III(+M),11.99,0.06
HIP 32349,HIP 32349,HD 48915,GJ 244 A,2MASS J06450887-1642566 A,1,1,1,0,0,0,0,06h45m09.25s,-16.713143,-16d42m47.3s,2.63,,,-1.44,0,0.01,0.01,A1.0V,30.48,0.05
HIP 32362,HIP 32362,HD 48737,GJ 242,2MASS J06451737+1253438,1,1,0,0,1,0,0,06h45m17.43s,12.896055,+12d53m45.8s,18,,,3.32,0.02,0.44,0.01,F5IV,12.77,0.06
HIP 32607,HIP 32607,HD 50241,GJ 248,2MASS J06481145-6156290,1,1,0,0,0,0,0,06h48m11.54s,-61.94198,-61d56m31.1s,29.6,1.56,-1.41,3.23,0.02,0.22,0.02,A7IV,36.4,0.14
HIP 33202 A,HIP 33202 A,HD 50635,GJ 9220 A,2MASS J06543863+1310401,1,1,0,0,0,0,0,06h54m38.59s,13.178016,+13d10m40.9s,25.63,1.07,-0.99,4.73,0.01,0.32,0.02,F0Vp,6.95,0.14
HIP 34065,HIP 34065,HD 53705,GJ 264.1 A,2MASS J07035734-4336289,1,0,1,0,0,0,0,07h03m57.40s,-43.608984,-43d36m32.3s,16.52,0.34,-0.32,5.56,0.01,0.62,0.01,G3V,1.45,0.07
HIP 34834,HIP 34834,HD 55892,GJ 268.1,2MASS J07123363-4645337,1,1,0,0,0,0,0,07h12m33.74s,-46.759564,-46d45m34.4s,21.43,,,4.49,0.01,0.32,0.01,F0IV,6.05,0.05
HIP 35136,HIP 35136,HD 55575,GJ 1095,2MASS J07155011+4714241,1,0,0,1,0,0,0,07h15m50.11s,47.240416,+47d14m25.5s,16.89,0.17,-0.17,5.54,0.02,0.58,0,G0V,1.54,0.06
HIP 35350,HIP 35350,HD 56537,GJ 9231 A,2MASS J07180560+1632255,0,1,0,0,0,0,0,07h18m05.58s,16.540382,+16d32m25.4s,28.91,0.76,-0.8,3.58,,0.12,,A2,,
HIP 35550,HIP 35550,HD 56986,GJ 271 A,2MASS J07200736+2158561 A,1,1,0,0,0,0,0,07h20m07.39s,21.982339,+21d58m56.4s,18.54,0.19,-0.18,3.5,0.01,0.37,0.02,F0IV...,11.38,0.06
HIP 36046,HIP 36046,HD 58207,,2MASS J07254359+2747529,0,1,0,0,0,0,0,07h25m43.60s,27.79808,+27d47m53.1s,38.61,1.31,-1.41,3.79,,1.04,,K0,,
HIP 36366,HIP 36366,HD 58946,GJ 274 A,2MASS J07290671+3147043 A,1,1,0,0,0,0,0,07h29m06.61s,31.784079,+31d47m02.7s,18.05,,,4.16,0.02,0.32,0.01,F0V...,5.84,0.06
HD 60532,HIP 36795,HD 60532,GJ 279,2MASS J07340317-2217457,1,1,0,0,0,1,2,07h34m03.21s,-22.296181,-22d17m46.3s,25.3,0.26,-0.25,4.44,0.01,0.52,0.01,F6V,9.3,0.1
HIP 36850 A,HIP 36850 A,HD 60179,GJ 278 A,2MASS J07343598+3153184 A,1,1,1,0,0,0,0,07h34m36.00s,31.888636,+31d53m19.1s,15.6,1,-0.88,1.58,0,0.03,0,A2Vm,53.93,0.17
HIP 37279,HIP 37279,HD 61421,GJ 280 A,2MASS J07391805+0513298 A,1,1,1,0,0,0,0,07h39m18.54s,5.227508,+05d13m39.0s,3.51,,,0.4,0.01,0.43,0.02,F5IV-V,7.12,0.04
HD 62509,HIP 37826,HD 62509,GJ 286,2MASS J07451891+2801340,1,1,1,0,0,1,1,07h45m19.36s,28.02631,+28d01m34.7s,10.36,,,1.16,0,0.99,0.01,K0IIIvar,40.95,0.05
HIP 37853,HIP 37853,HD 63077,GJ 288 A,2MASS J07453500-3410226,1,0,1,1,0,0,0,07h45m35.18s,-34.176551,-34d10m35.6s,15.21,0.15,-0.15,5.36,0.01,0.59,0.01,G0V,1.51,0.06
HIP 38382 A,HIP 38382 A,HD 64096,GJ 291 A,2MASS J07514629-1353526 A,1,0,1,0,0,0,0,07h51m46.34s,-13.897191,-13d53m49.9s,16.5,0.17,-0.16,5.16,0,0.6,0.01,G2V,2.11,0.06
HIP 38908,HIP 38908,HD 65907,GJ 294 A,2MASS J07574692-6018111,1,0,1,0,0,0,0,07h57m46.30s,-60.303361,-60d18m12.1s,16.2,,,5.58,0.02,0.57,0.01,G0V,1.36,0.06
HIP 39757,HIP 39757,HD 67523,,2MASS J08073264-2418154,1,1,0,0,0,0,0,08h07m32.70s,-24.304437,-24d18m16.0s,19.48,,,2.79,0.02,0.46,0.02,F2MF5IIP,24.25,0.06
HIP 39903,HIP 39903,HD 68456,GJ 297.1,2MASS J08090068-6118088,1,1,0,0,0,0,0,08h09m00.86s,-61.301706,-61d18m06.1s,19.98,1.05,-0.95,4.74,0.02,0.44,0.01,F5V,4.29,0.17
HIP 40167 A,HIP 40167 A,HD 68257,GJ 9257 A,2MASS J08121278+1738522 A,1,1,0,0,0,0,0,08h12m12.71s,17.648138,+17d38m53.3s,25.08,0.51,-0.49,5.24,0.02,0.53,0,G0V,4.56,0.06
HD 69830,HIP 40693,HD 69830,GJ 302,2MASS J08182389-1237541,1,0,1,0,0,1,3,08h18m23.78s,-12.62977,-12d37m47.2s,12.49,,,5.94,0.02,0.75,0.01,K0V,0.63,0.06
HIP 40702,HIP 40702,HD 71243,GJ 305,2MASS J08183157-7655108,1,1,0,0,0,0,0,08h18m31.27s,-76.919983,-76d55m11.9s,19.56,,,4.05,0.02,0.4,0.02,F5V,7.74,0.1
HIP 40706,HIP 40706,HD 70060,GJ 305,2MASS J08183332-3639333,1,1,0,0,0,0,0,08h18m33.39s,-36.659533,-36d39m34.3s,28.63,0.29,-0.28,4.44,0,0.22,0.01,A4(M)A5-A7,11.38,0.05
HD 70642,HIP 40952,HD 70642,GJ 304,2MASS J08212815-3942199,1,0,1,0,0,1,1,08h21m28.29s,-39.705958,-39d42m21.4s,28.07,0.28,-0.28,7.16,0.02,0.71,0.02,G8/K1(III+F/G),0.98,0.05
HIP 41312,HIP 41312,HD 71878,GJ 3499,2MASS J08254423-6608127,0,1,0,0,0,0,0,08h25m44.19s,-66.136887,-66d08m12.8s,33.1,0.49,-0.5,3.77,,1.13,,K1 III,,
HD 72659,HIP 42030,HD 72659,,2MASS J08340320-0134056,0,0,1,0,0,1,1,08h34m03.19s,-1.568217,-01d34m05.6s,51.36,2.58,-2.87,,,0.611,0.02,G0 V,,
HIP 42438,HIP 42438,HD 72905,GJ 311,2MASS J08391162+6501151,1,0,1,0,0,1,0,08h39m11.74s,65.020693,+65d01m14.5s,14.36,0.15,-0.14,5.63,0,0.62,0,G1.5Vb,1.03,0.05
HIP 42913 A,HIP 42913 A,HD 74956,GJ 321.3 A,2MASS J08444223-5442313 A,1,1,0,0,0,0,0,08h44m42.20s,-54.708568,-54d42m30.8s,24.7,0.25,-0.24,1.93,0.02,0.04,0.01,A0V,96.77,0.11
55 Cnc,HIP 43587,HD 75732,GJ 324 A,2MASS J08523579+2819509,1,1,1,0,0,1,5,08h52m36.13s,28.331388,+28d19m53.0s,12.34,0.12,-0.12,5.96,0.01,0.87,0.01,G8V,0.66,0.1
GJ 328,HIP 43790,,GJ 328,2MASS J08550761+0132472,1,0,1,0,0,1,1,08h55m07.60s,1.549046,+01d32m56.6s,19.79,0.82,-0.76,9.99,0,1.37,0.01,M1,0.1,0.09
HIP 44127,HIP 44127,HD 76644,GJ 331 A,2MASS J08591246+4802304 A,1,1,1,0,0,0,0,08h59m12.84s,48.04235,+48d02m32.5s,14.51,,,3.1,0.02,0.21,0.02,A7IV,10.18,0.06
HIP 44248 A,HIP 44248 A,HD 76943,GJ 332 A,2MASS J09003845+4146583 A,1,1,1,0,0,0,0,09h00m38.75s,41.783444,+41d47m00.4s,16.07,0.16,-0.16,3.97,0.02,0.44,0.02,F5V,5.61,0.07
HIP 44901,HIP 44901,HD 78209,GJ 3534,2MASS J09085226+5136168,1,1,0,0,0,0,0,09h08m52.39s,51.604727,+51d36m17.0s,28.82,0.29,-0.29,4.44,0.02,0.29,0.01,Am,11.38,0.1
HIP 45038 A,HIP 45038 A,HD 78154,GJ 335 A,2MASS J09102351+6708030 A,1,1,0,0,1,0,0,09h10m23.53s,67.134239,+67d08m03.3s,20.38,0.21,-0.2,4.8,0,0.49,0.01,F7IV-V,4.33,0.05
HIP 45170,HIP 45170,HD 79096,GJ 337 A,2MASS J09121762+1459454 A,1,0,0,1,0,0,0,09h12m17.87s,14.995441,+14d59m43.6s,20.36,0.21,-0.2,6.48,0.02,0.73,0,G9V,1.03,0.05
HIP 45238,HIP 45238,HD 80007,GJ 339.2,2MASS J09131197-6943017,0,1,0,0,0,0,0,09h13m11.98s,-69.717209,-69d43m02.0s,34.08,0.54,-0.56,1.68,,0,,A1 III,,
HIP 46509,HIP 46509,HD 81997 A,GJ 348 A,2MASS J09290891-0246083,1,1,0,0,0,0,0,09h29m08.84s,-2.768956,-02d46m08.2s,17.33,0.72,-0.67,4.59,0.01,0.41,0.02,F5V,3.72,0.11
HIP 46651 A,HIP 46651 A,HD 82434,GJ 351 A,2MASS J09304200-4028004 A,1,1,0,0,0,0,0,09h30m42.11s,-40.466888,-40d28m00.8s,18.81,0.19,-0.19,3.6,0.01,0.37,0.02,F2IV,10.65,0.06
HIP 46733,HIP 46733,HD 81937,GJ 3559,2MASS J09313170+6303427,1,1,0,0,1,0,0,09h31m31.57s,63.061795,+63d03m42.5s,23.82,,,3.64,0.02,0.36,0.02,F0IV,16.46,0.06
HIP 46853,HIP 46853,HD 82328,GJ 354 A,2MASS J09325151+5140384 A,1,1,1,0,0,0,0,09h32m52.33s,51.678602,+51d40m43.0s,13.48,,,3.16,0.02,0.47,0.02,F6IV,8.45,0.06
HIP 47080,HIP 47080,HD 82885,GJ 356 A,2MASS J09353959+3548366 A,1,1,1,0,0,0,0,09h35m40.03s,35.810767,+35d48m38.8s,11.37,,,5.39,0.02,0.77,0,G8IV-V,0.85,0.06
HIP 47592,HIP 47592,HD 84117,GJ 364,2MASS J09421443-2354563,1,1,1,0,1,1,0,09h42m14.67s,-23.916209,-23d54m58.4s,15.01,,,4.92,0.02,0.53,0,G0V,2.11,0.1
HIP 48319,HIP 48319,HD 84999,,2MASS J09505935+5902192,0,1,0,0,0,0,0,09h50m59.36s,59.038734,+59d02m19.4s,35.27,0.81,-0.85,3.81,,0.29,,F0,,
HIP 49081,HIP 49081,HD 86728,GJ 376,2MASS J10010072+3155262,1,0,1,0,0,1,0,10h01m01.02s,31.924715,+31d55m29.0s,15.05,,,5.37,0.02,0.67,0.02,G1V,1.47,0.1
HIP 49593,HIP 49593,HD 87696,GJ 378.3,2MASS J10072573+3514409,1,1,0,0,0,0,0,10h07m25.73s,35.244692,+35d14m40.9s,28.24,0.29,-0.28,4.49,0.01,0.19,0.01,A7V,10.68,0.05
HIP 49669,HIP 49669,HD 87901,GJ 9316 A,2MASS J10082229+1158018,1,1,0,0,0,0,0,10h08m22.46s,11.967195,+11d58m01.9s,24.31,0.25,-0.24,1.41,0.01,-0.04,0.01,B7V,215.45,0.03
HD 87883,HIP 49699,HD 87883,,2MASS J10084315+3414322,1,1,1,0,0,1,1,10h08m43.18s,34.242406,+34d14m32.7s,18.2,0.18,-0.18,7.55,0.02,0.99,0.02,K0,0.35,0.05
HIP 49908,HIP 49908,HD 88230,GJ 380,2MASS J10112218+4927153,1,0,0,0,1,0,0,10h11m23.36s,49.455464,+49d27m19.7s,4.87,,,6.6,0.02,1.34,0.02,K7.0V,0.11,0.06
HIP 50191,HIP 50191,HD 88955,,2MASS J10144416-4207189,0,1,0,0,0,0,0,10h14m44.15s,-42.121941,-42d07m19.0s,31.53,0.54,-0.56,3.85,,0.05,,A1 V,,
HD 89307,HIP 50473,HD 89307,,2MASS J10182131+1237160,0,0,1,0,0,1,1,10h18m21.29s,12.621108,+12d37m16.0s,30.88,0.92,-0.97,7.009,0.011,0.59,0.02,G0,,
HIP 50564,HIP 50564,HD 89449,GJ 388.1,2MASS J10194419+1928157,1,1,0,0,1,0,0,10h19m44.31s,19.471436,+19d28m17.2s,21.37,0.22,-0.21,4.78,0.02,0.45,0.01,F6IV,4.75,0.1
HIP 50954,HIP 50954,HD 90589,GJ 391,2MASS J10242373-7401536,1,1,1,0,0,0,0,10h24m23.74s,-74.031545,-74d01m53.6s,16.22,,,3.98,0.02,0.37,0.02,F2/3IV/V,5.62,0.06
HIP 51459,HIP 51459,HD 90839,GJ 395,2MASS J10303759+5558501,1,1,1,0,1,1,0,10h30m37.76s,55.980618,+55d58m50.2s,12.78,,,4.82,0.02,0.54,0.01,F8V,1.68,0.06
HIP 51986 A,HIP 51986 A,HD 92139,,2MASS J10371812-4813321 A,1,1,0,0,0,0,0,10h37m18.26s,-48.225616,-48d13m32.2s,26.84,0.27,-0.27,3.83,0.02,0.3,0.02,A3MF0-F2,17.25,0.06
HIP 52727 A,HIP 52727 A,HD 93497,,2MASS J10464619-4925128 A,0,1,0,0,0,0,0,10h46m46.18s,-49.420254,-49d25m12.9s,35.49,0.61,-0.63,2.69,,0.9,,G5 IIIA,,
HIP 53229,HIP 53229,HD 94264,,2MASS J10531870+3412538,1,1,0,0,0,0,0,10h53m18.64s,34.215566,+34d12m56.0s,29.09,0.29,-0.29,3.79,0.02,1.04,0.01,K0III-IV,30.73,0.06
HIP 53253,HIP 53253,HD 94510,GJ 404.1,2MASS J10532966-5851113,1,1,0,0,0,0,0,10h53m29.57s,-58.853265,-58d51m11.8s,29.13,,,3.78,0,0.95,0.01,K1III,28.48,0.05
47 UMa,HIP 53721,HD 95128,GJ 407,2MASS J10592802+4025485,1,1,1,0,1,1,3,10h59m28.22s,40.430123,+40d25m48.4s,14.06,,,5.03,0.02,0.61,0.02,G0V,1.71,0.1
HIP 53910,HIP 53910,HD 95418,GJ 9343,2MASS J11015046+5622566,1,1,0,0,1,0,0,11h01m50.39s,56.382345,+56d22m56.4s,24.45,,,2.35,0,0.03,0,A1V,74.99,0.05
HIP 54182,HIP 54182,HD 96097,,2MASS J11050103+0720096,1,1,0,0,0,0,0,11h05m01.23s,7.336123,+07d20m10.0s,28.99,0.29,-0.29,4.62,0.02,0.33,0.01,F2III-IVvar,9.89,0.04
HIP 54872,HIP 54872,HD 97603,GJ 419,2MASS J11140651+2031258,1,1,0,0,1,0,0,11h14m06.41s,20.524034,+20d31m26.5s,17.91,,,2.56,0.01,0.13,0.01,A4V,25.78,0.05
HIP 55642 A,HIP 55642 A,HD 99028,GJ 426.1 A,2MASS J11235546+1031459 A,1,1,0,0,0,0,0,11h23m55.37s,10.529698,+10d31m46.9s,23.67,0.48,-0.46,4,0.01,0.42,0.02,F2IVSB,12.08,0.11
HIP 55705,HIP 55705,HD 99211,,2MASS J11245298-1741025,1,1,0,0,0,0,0,11h24m52.98s,-17.684017,-17d41m02.5s,25.24,0.25,-0.25,4.07,0.02,0.22,0.01,A9V,12.3,0.1
HD 99492,HIP 55848,HD 99492,GJ 429 B,2MASS J11264627+0300229,1,1,0,0,0,1,1,11h26m46.70s,3.005864,+03d00m21.1s,17.96,0.56,-0.52,7.53,0.01,1.02,0.01,K2/4,0.34,0.07
HIP 56452,HIP 56452,HD 100623,GJ 432 A,2MASS J11342953-3249533,1,0,1,1,0,1,0,11h34m29.95s,-32.833342,-32d50m00.0s,9.56,,,5.96,0.02,0.81,0.01,K0V,0.62,0.06
HIP 56997,HIP 56997,HD 101501,GJ 434,2MASS J11410301+3412064,1,1,1,1,1,1,0,11h41m03.03s,34.20256,+34d12m09.2s,9.61,,,5.31,0.02,0.72,0.01,G8Vvar,0.65,0.06
HD 102365,HIP 57443,HD 102365,GJ 442 A,2MASS J11463107-4030013,1,1,1,1,0,1,1,11h46m32.25s,-40.501335,-40d30m04.8s,9.22,,,4.89,0,0.66,0,G3/5V,0.86,0.05
HIP 57632,HIP 57632,HD 102647,GJ 448,2MASS J11490366+1434197,1,1,1,0,1,0,0,11h49m03.88s,14.572337,+14d34m20.4s,11,0.11,-0.11,2.14,0,0.09,0,A3Vvar,14.58,0.02
HIP 57757,HIP 57757,HD 102870,GJ 449,2MASS J11504173+0145528,1,1,1,0,1,1,0,11h50m41.29s,1.765377,+01d45m55.4s,10.93,,,3.59,0.01,0.52,0.02,F9V,3.79,0.05
HIP 58001,HIP 58001,HD 103287,,2MASS J11534983+5341408,1,1,0,0,1,0,0,11h53m49.74s,53.694733,+53d41m41.0s,25.5,0.26,-0.25,2.39,0.02,0.05,0.02,A0VSB,74.95,0.07
HIP 58576,HIP 58576,HD 104304,GJ 454,2MASS J12004444-1026452,1,0,1,0,0,1,0,12h00m44.37s,-10.444839,-10d26m41.4s,12.76,,,5.53,0.02,0.77,0.02,G8IV,0.93,0.06
HIP 59072,HIP 59072,HD 105211,GJ 455.2,2MASS J12065290-6436494,1,1,0,0,0,0,0,12h06m52.85s,-64.613639,-64d36m49.1s,19.76,,,4.14,0.02,0.35,0.01,F0IV,7.12,0.06
HIP 59199,HIP 59199,HD 105452,GJ 455.3,2MASS J12082481-2443440,1,1,1,0,1,0,0,12h08m24.75s,-24.72878,-24d43m43.6s,14.94,,,4.02,0.01,0.33,0.02,F0IV/V,4.56,0.05
HD 106515 A,HIP 59743 A,HD 106515 A,GJ 9398 A,2MASS J12150658-0715263,0,1,0,0,0,1,1,12h15m06.57s,-7.257327,-07d15m26.4s,36.36,1.93,-2.16,7.971,0.014,0.822,0.025,G5,1.23,
HIP 59774,HIP 59774,HD 106591,GJ 459,2MASS J12152554+5701575,1,1,0,0,1,0,0,12h15m25.45s,57.032598,+57d01m57.4s,24.69,,,3.28,0.02,0.08,0.01,A3Vvar,26.09,0.06
HIP 60729,HIP 60729,HD 108309,GJ 9406,2MASS J12264817-4854472,1,0,0,1,0,0,0,12h26m48.71s,-48.912998,-48d54m46.8s,26.61,0.27,-0.26,6.25,0,0.67,0,G3/5V,2.02,0.03
HIP 60965,HIP 60965,HD 108767,,2MASS J12295187-1630552,1,1,0,0,1,0,0,12h29m51.98s,-16.515094,-16d30m54.3s,26.63,,,2.93,0.02,-0.01,0.02,B9.5V,57.79,0.06
HIP 61084,HIP 61084,HD 108903,GJ 470,2MASS J12310993-5706474,1,1,0,0,0,0,0,12h31m09.93s,-57.112569,-57d06m45.2s,27.15,,,1.65,0.01,1.52,0.01,M4III,878.37,0.09
HIP 61174,HIP 61174,HD 109085,GJ 471.2,2MASS J12320424-1611455,1,1,0,0,1,0,0,12h32m04.48s,-16.195866,-16d11m45.1s,18.28,,,4.3,0.01,0.39,0.01,F2V,5.24,0.05
HIP 61317,HIP 61317,HD 109358,GJ 475,2MASS J12334454+4121270,1,1,1,0,0,1,0,12h33m45.09s,41.356768,+41d21m24.4s,8.44,,,4.24,0.02,0.59,0.01,G0V,1.27,0.06
HIP 61941 A,HIP 61941 A,HD 110379,GJ 482 A,2MASS J12413962-0126580 A,1,1,1,0,0,0,0,12h41m40.00s,-1.449522,-01d26m58.3s,11.68,0.12,-0.12,3.44,0.02,0.36,0.02,F1V,5.28,0.06
HIP 62145,HIP 62145,HD 110833,GJ 483,2MASS J12441457+5145336,1,0,0,1,0,0,0,12h44m14.90s,51.759749,+51d45m35.1s,14.88,0.15,-0.15,7.01,0.02,0.94,0.01,K3V,0.38,0.05
HIP 62956,HIP 62956,HD 112185,,2MASS J12540170+5557349,1,1,0,0,0,0,0,12h54m01.63s,55.959843,+55d57m35.4s,25.31,0.26,-0.25,1.76,0,-0.02,0,A0p,134.69,0.05
HIP 63125,HIP 63125,HD 112413,,2MASS J12560168+3819059,0,1,0,0,0,0,0,12h56m01.67s,38.318378,+38d19m06.2s,33.78,1.15,-1.23,2.89,,-0.12,,A0 II-IIIp SiEuCr,,
