star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 87585,HIP 87585,HD 163588,,2MASS J17533173+5652216,0,1,0,0,0,0,0,17h53m31.73s,56.872643,+56d52m21.5s,34.18,0.56,-0.58,3.75,,1.18,,K2 III,,
HIP 88175,HIP 88175,HD 164259,GJ 699.2,2MASS J18002899-0341250,1,1,0,0,1,0,0,18h00m28.92s,-3.690161,-03d41m24.6s,23.55,0.24,-0.23,4.62,0.02,0.37,0.02,F2IV,6.61,0.06
HIP 88601 A,HIP 88601 A,HD 165341,GJ 702 A,2MASS J18052735+0229585 A,1,1,1,1,0,0,0,18h05m27.21s,2.502439,+02d30m08.8s,5.1,0.05,-0.05,4.03,0.01,0.86,0.01,K0V,0.68,0.05
HIP 88635,HIP 88635,HD 165135,,2MASS J18054848-3025265,1,1,0,0,0,0,0,18h05m48.52s,-30.42365,-30d25m25.1s,29.7,0.3,-0.29,2.95,0.02,1.02,0.02,K0III,66.22,0.06
HIP 88745 A,HIP 88745 A,HD 165908,GJ 704 A,2MASS J18070158+3033434 A,1,0,1,0,0,0,0,18h07m01.61s,30.561868,+30d33m42.7s,15.64,0.16,-0.15,5.07,0.02,0.5,0.02,F7V,2.05,0.06
HIP 88771,HIP 88771,HD 165777,GJ 9615 A,2MASS J18072099+0933497,1,1,0,0,0,0,0,18h07m21.02s,9.563653,+09d33m49.2s,26.63,0.27,-0.26,3.7,0.02,0.14,0.02,A4IVs,20.1,0.06
HIP 88972,HIP 88972,HD 166620,GJ 706,2MASS J18093745+3827288,1,0,0,1,0,0,0,18h09m37.65s,38.458915,+38d27m32.1s,11.02,,,6.38,0.02,0.88,0.01,K2V,0.36,0.04
HIP 89042,HIP 89042,HD 165499,GJ 705.1,2MASS J18102614-6200078,1,0,0,1,0,0,0,18h10m26.26s,-62.002768,-62d00m10.0s,17.61,0.18,-0.17,5.47,0,0.59,0.01,G1V,1.78,0.06
HIP 89937,HIP 89937,HD 170153,GJ 713 A,2MASS J18210342+7243582 A,1,1,0,1,0,0,0,18h21m02.34s,72.733698,+72d44m01.3s,8.06,0.08,-0.08,3.56,0.02,0.49,0.01,F7Vvar,2.14,0.11
HIP 89962,HIP 89962,HD 168723,GJ 711,2MASS J18211862-0253554,1,1,0,0,0,1,0,18h21m18.92s,-2.897122,-02d53m49.6s,18.54,,,3.23,0.02,0.94,0.01,K0III-IV,19.56,0.04
HIP 90139,HIP 90139,HD 169414,,2MASS J18234188+2146108,0,1,0,0,0,0,0,18h23m41.89s,21.769753,+21d46m11.1s,39.37,0.98,-1.03,3.84,,1.18,,K0,,
HD 169830,HIP 90485,HD 169830,,2MASS J18274949-2949007,0,0,1,0,0,1,2,18h27m49.48s,-29.816866,-29d49m00.7s,36.32,1.16,-1.24,5.902,0.01,0.505,0.017,F8 V,4.59,
HIP 90496,HIP 90496,HD 169916,GJ 713.1,2MASS J18275824-2525175,1,1,0,0,0,0,0,18h27m58.27s,-25.421247,-25d25m16.5s,23.97,,,2.81,0.02,1.06,0.02,K1IIIB,52.22,0.06
HIP 91262,HIP 91262,HD 172167,GJ 721,2MASS J18365633+3847012,1,1,1,0,1,0,0,18h36m56.19s,38.782993,+38d46m58.8s,7.68,,,0.03,0,0,0.01,A0Vvar,61,0.05
HIP 91438,HIP 91438,HD 172051,GJ 722,2MASS J18385342-2103065,1,0,1,0,0,1,0,18h38m53.45s,-21.051502,-21d03m05.4s,13.08,0.13,-0.13,5.86,0.02,0.67,0,G5V,0.71,0.1
HIP 92043,HIP 92043,HD 173667,GJ 725.2,2MASS J18453972+2032466,1,1,0,0,1,1,0,18h45m39.73s,20.547124,+20d32m49.6s,19.21,,,4.19,0.02,0.47,0.02,F6V,6.72,0.1
HIP 92161,HIP 92161,HD 173880,,2MASS J18470124+1810531,1,1,0,0,0,0,0,18h47m01.22s,18.18123,+18d10m52.4s,28.89,0.29,-0.29,4.34,0.02,0.13,0.02,A5III,13.58,0.07
HD 176051,HIP 93017 A,HD 176051,GJ 738 A,2MASS J18570156+3254050 A,1,0,1,0,0,0,0,18h57m01.47s,32.901624,+32d54m05.8s,14.87,0.15,-0.15,5.28,0.02,0.55,0.02,G0V,1.5,0.1
HIP 93506 A,HIP 93506 A,HD 176687 A,,2MASS J19023670-2952484 A,1,1,0,0,0,0,0,19h02m36.72s,-29.880114,-29d52m48.4s,27.04,0.55,-0.53,2.6,0.01,0.06,0.02,A3IV,58.04,0.12
HIP 93747,HIP 93747,HD 177724,GJ 4095 A,2MASS J19052461+1351486,1,1,0,0,0,0,0,19h05m24.61s,13.86371,+13d51m49.4s,25.46,,,2.99,0,0.01,0,A0Vn,40.34,0.05
HIP 93825 A,HIP 93825 A,HD 177474,GJ 743.1 A,2MASS J19062517-3703485 A,1,1,0,0,0,0,0,19h06m25.04s,-37.062757,-37d03m45.9s,17.3,0.17,-0.17,4.23,0.01,0.52,0.01,F8/G0V,5.3,0.06
HIP 94376,HIP 94376,HD 180711,,2MASS J19123328+6739415,1,1,0,0,0,0,0,19h12m33.15s,67.661317,+67d39m40.7s,29.87,,,3.05,0.02,1,0.02,G9III,59.59,0.06
HIP 95447,HIP 95447,HD 182572,GJ 759,2MASS J19245822+1156401,1,0,1,0,0,1,0,19h24m57.77s,11.942851,+11d56m34.3s,15.18,,,5.16,0.02,0.76,0.02,G8IVvar,1.84,0.06
HD 181433,HIP 95467,HD 181433,GJ 756.1,2MASS J19250951-6628075,1,0,1,0,0,1,3,19h25m09.90s,-66.469371,-66d28m09.7s,26.76,0.83,-0.78,8.39,0.02,1.03,0.02,K2IV/V,0.36,0.1
HIP 95501,HIP 95501,HD 182640,GJ 760,2MASS J19252990+0306532,1,1,1,0,0,0,0,19h25m29.75s,3.114579,+03d06m52.5s,15.53,0.32,-0.3,3.36,0,0.32,0,F2IV,9.01,0.06
HIP 96100,HIP 96100,HD 185144,GJ 764,2MASS J19322153+6939413,1,1,1,1,1,1,0,19h32m20.59s,69.665402,+69d39m55.4s,5.75,0.06,-0.06,4.67,0.02,0.79,0.01,G9.0V,0.44,0.06
HIP 96441,HIP 96441,HD 185395,GJ 765 A,2MASS J19362654+5013155 A,1,1,0,0,1,1,0,19h36m26.54s,50.220463,+50d13m13.7s,18.34,,,4.49,0.01,0.4,0.02,F4V,4.51,0.05
HIP 96895,HIP 96895,HD 186408,GJ 765.1 A,2MASS J19414896+5031305,1,0,1,0,0,1,0,19h41m49.09s,50.525446,+50d31m31.6s,21.08,0.21,-0.21,5.92,0.02,0.64,0.01,G2V,1.7,0.04
HD 187123,HIP 97336,HD 187123,,2MASS J19465809+3425105,0,0,1,0,0,1,2,19h46m58.11s,34.419525,+34d25m10.3s,47.92,1.58,-1.69,7.832,0.011,0.656,0.019,G3 V,1.35,
HIP 97649,HIP 97649,HD 187642,GJ 768,2MASS J19504698+0852060,1,1,1,0,1,0,0,19h50m46.68s,8.867385,+08d52m02.6s,5.12,0.05,-0.05,0.76,0.01,0.22,0.01,A7IV-V,10.65,0.05
HIP 98036,HIP 98036,HD 188512,GJ 771 A,2MASS J19551878+0624238 A,1,1,1,0,0,1,0,19h55m18.77s,6.407933,+06d24m28.6s,13.7,,,3.71,0.02,0.86,0.01,G8IVvar,6.29,0.06
HIP 98495,HIP 98495,HD 188228,,2MASS J20003558-7254380,0,1,0,0,0,0,0,20h00m35.55s,-72.910507,-72d54m37.8s,32.54,0.57,-0.59,3.96,,-0.03,,A0 Va,,
HD 190360,HIP 98767,HD 190360,GJ 775,2MASS J20033732+2953493,1,1,1,0,0,1,2,20h03m36.95s,29.898079,+29d53m53.1s,15.86,0.16,-0.16,5.73,0.02,0.75,0,G6IV+...,1.2,0.06
HIP 99240,HIP 99240,HD 190248,GJ 780,2MASS J20084376-6610563,1,1,1,1,0,0,0,20h08m41.86s,-66.179321,-66d10m45.6s,6.11,0.06,-0.06,3.53,0.02,0.76,0.02,G8.0IV,1.33,0.06
HIP 99461,HIP 99461,HD 191408,GJ 783 A,2MASS J20111207-3606063 A,1,1,1,1,0,1,0,20h11m11.61s,-36.097384,-36d05m50.6s,6.01,0.06,-0.06,5.32,0.02,0.86,0.02,K2.5V,0.28,0.1
HD 192310,HIP 99825,HD 192310,GJ 785,2MASS J20151734-2701585,1,0,1,0,1,1,2,20h15m16.58s,-27.032536,-27d01m57.1s,8.91,,,5.72,0.02,0.91,0.02,K3V,0.42,0.06
HIP 100017,HIP 100017,HD 193664,GJ 788,2MASS J20173128+6651130,1,0,0,1,0,0,0,20h17m30.63s,66.852966,+66d51m10.7s,17.57,,,5.92,0.02,0.59,0.02,G3V,1.18,0.1
HD 196067,HIP 102125,HD 196067,,2MASS J20414409-7521029,0,1,0,0,0,1,1,20h41m44.09s,-75.3508,-75d21m02.9s,43.57,3.65,-4.39,6.03,,0.62,,G1 V,3.73,
HIP 102333,HIP 102333,HD 197157,GJ 4158,2MASS J20440233-5155155,1,1,0,0,0,0,0,20h44m02.19s,-51.920841,-51d55m15.0s,24.17,0.24,-0.24,4.5,0.02,0.28,0,A7III/IV,7.61,0.1
HIP 102422,HIP 102422,HD 198149,GJ 807,2MASS J20451737+6150199,1,1,1,0,0,0,0,20h45m17.27s,61.836794,+61d50m12.5s,14.27,,,3.41,0.02,0.91,0,K0IV,9.37,0.06
HIP 102431,HIP 102431,HD 198084,GJ 9706,2MASS J20452110+5734469,1,1,0,0,0,0,0,20h45m21.20s,57.580298,+57d34m49.1s,27.29,0.28,-0.27,4.52,0,0.54,0.01,F8IV-V,10.11,0.11
HIP 102485,HIP 102485,HD 197692,GJ 805,2MASS J20460572-2516153,1,1,1,0,1,0,0,20h46m05.77s,-25.270517,-25d16m13.9s,14.68,,,4.13,0,0.43,0.01,F5V,4.06,0.1
HIP 102488,HIP 102488,HD 197989,GJ 806.1 A,2MASS J20461266+3358128,1,1,0,0,0,0,0,20h46m12.43s,33.969453,+33d58m10.0s,22.29,,,2.45,0.02,1.02,0.02,K0III,60.04,0.06
HIP 104214,HIP 104214,HD 201091,GJ 820 A,2MASS J21065341+3844529,1,1,1,1,1,1,0,21h06m50.84s,38.741494,+38d44m29.4s,3.5,,,5.2,0.01,1.07,0.02,K5.0V,0.13,0.1
HIP 104217,HIP 104217,HD 201092,GJ 820 B,2MASS J21065473+3844265,1,0,1,0,1,1,0,21h06m52.19s,38.734414,+38d44m03.9s,3.5,,,5.95,0.02,1.3,0.02,K7.0V,0.1,0.1
HIP 104239 A,HIP 104239 A,HD 200968,GJ 819 A,2MASS J21071037-1355224,1,0,0,1,0,0,0,21h07m10.15s,-13.922816,-13d55m22.1s,17.57,0.18,-0.17,7.19,0.02,0.9,0.01,K1V,0.44,0.11
HIP 104858 A,HIP 104858 A,HD 202275 A,GJ 822 A,2MASS J21142881+1000249 A,1,1,0,0,0,0,0,21h14m28.79s,10.007719,+10d00m27.8s,18.49,0.19,-0.18,4.47,0.01,0.53,0.02,F5V+...,4.79,0.06
HIP 104887 A,HIP 104887 A,HD 202444,GJ 822.1 A,2MASS J21144746+3802429 A,1,1,0,0,0,0,0,21h14m47.35s,38.04432,+38d02m39.6s,20.34,0.21,-0.2,3.74,0,0.39,0,F1IV,11.13,0.05
HIP 105090,HIP 105090,HD 202560,GJ 825,2MASS J21171534-3852022,1,0,0,1,0,0,0,21h17m17.71s,-38.864575,-38d51m52.5s,3.95,,,6.69,0,1.4,0,K9.0V,0.08,0.1
HIP 105199,HIP 105199,HD 203280,GJ 826,2MASS J21183475+6235081,1,1,1,0,1,0,0,21h18m34.58s,62.585455,+62d35m07.6s,15.04,,,2.43,0.02,0.24,0.02,A7IV-V,19.93,0.06
HIP 105312 A,HIP 105312 A,HD 202940,GJ 825.4 A,2MASS J21194564-2621100 A,1,0,0,1,0,0,0,21h19m46.00s,-26.352011,-26d21m07.2s,17.97,0.18,-0.18,6.56,0.01,0.74,0.02,G5V,0.78,0.04
HIP 105858,HIP 105858,HD 203608,GJ 827,2MASS J21262662-6521578,1,1,1,1,0,0,0,21h26m26.49s,-65.368144,-65d22m05.3s,9.26,,,4.22,0.02,0.47,0.02,F7V,1.54,0.06
HD 204941,HIP 106353,HD 204941,,2MASS J21322353-2057264,1,0,1,0,0,1,1,21h32m23.68s,-20.957119,-20d57m25.6s,26.9,0.83,-0.78,8.45,0,0.88,0,K1/2V,0.32,0.07
GJ 832,HIP 106440,HD 204961,GJ 832,2MASS J21333397-4900323,1,1,1,0,0,1,2,21h33m34.02s,-49.007018,-49d00m25.3s,4.95,,,8.67,0.01,1.5,0.01,M1.5V,0.03,0.09
HIP 107089,HIP 107089,HD 205478,GJ 835.1,2MASS J21412863-7723243,1,1,0,0,0,0,0,21h41m28.47s,-77.389462,-77d23m22.1s,21.2,0.88,-0.82,3.73,0.02,1.02,0.02,K0III,17.91,0.15
HIP 107310 A,HIP 107310 A,HD 206826,GJ 836.6 A,2MASS J21440853+2844336 A,1,1,0,0,0,0,0,21h44m08.40s,28.743222,+28d44m35.6s,22.24,0.22,-0.22,4.69,0.02,0.45,0.02,F6V,5.78,0.06
HIP 107556,HIP 107556,HD 207098,GJ 837,2MASS J21470244-1607382,1,1,1,0,0,0,0,21h47m02.29s,-16.126566,-16d07m35.6s,11.87,,,2.85,0.02,0.3,0.02,A5mF2 (IV),8.38,0.06
HIP 107649,HIP 107649,HD 207129,GJ 838,2MASS J21481574-4718129,1,0,1,0,0,0,0,21h48m15.61s,-47.302898,-47d18m10.4s,15.99,0.16,-0.16,5.57,0.02,0.6,0,G0V,1.35,0.06
HIP 108870,HIP 108870,HD 209100,GJ 845,2MASS J22032156-5647093,1,1,1,1,0,0,0,22h03m17.44s,-56.779806,-56d46m47.3s,3.62,,,4.69,0.01,1.06,0.02,K4V,0.23,0.1
HIP 108917 A,HIP 108917 A,HD 209790,,2MASS J22034716+6437407,1,1,0,0,0,0,0,22h03m47.16s,64.627754,+64d37m39.9s,29.59,0.92,-0.86,4.4,0.02,0.34,0.02,Am,12.57,0.13
HIP 109176,HIP 109176,HD 210027,GJ 848,2MASS J22070067+2520424,1,1,1,0,0,0,0,22h07m00.47s,25.345046,+25d20m42.2s,11.73,0.12,-0.12,3.77,0,0.44,0.01,F5V,3.63,0.05
HIP 109268,HIP 109268,HD 209952,GJ 848.2,2MASS J22081397-4657393,0,1,0,0,0,0,0,22h08m13.98s,-46.960976,-46d57m39.5s,31.09,0.77,-0.81,1.74,,-0.13,,B7 IV,,
GJ 849,HIP 109388,,GJ 849,2MASS J22094029-0438267,1,0,1,0,0,1,1,22h09m39.68s,-4.640681,-04d38m26.5s,9.1,0.19,-0.18,10.37,0.01,1.5,0.01,M3,0.03,0.1
HIP 109427,HIP 109427,HD 210418,GJ 9771,2MASS J22101198+0611522,1,1,0,0,1,0,0,22h10m11.82s,6.197789,+06d11m52.0s,28.3,0.58,-0.55,3.52,0,0.09,0,A2V,27.66,0.07
HIP 109857,HIP 109857,HD 211336,GJ 4266,2MASS J22150213+5702367,1,1,0,0,0,0,0,22h15m01.68s,57.043465,+57d02m36.5s,26.2,0.81,-0.76,4.17,0.02,0.28,0.01,F0IV,12.04,0.12
HIP 110109,HIP 110109,HD 211415,GJ 853 A,2MASS J22181562-5337372 A,1,0,1,0,0,0,0,22h18m15.18s,-53.625536,-53d37m31.9s,13.79,,,5.36,0.01,0.61,0.02,G3V,1.23,0.06
HIP 110960 A,HIP 110960 A,HD 213052,,2MASS J22284987-0001124 A,1,1,0,0,0,0,0,22h28m49.80s,-0.020063,-00d01m12.2s,28.17,1.17,-1.08,3.65,0.01,0.41,0.02,F3III-IV,23.18,0.13
HIP 111169,HIP 111169,HD 213558,,2MASS J22311751+5016571,0,1,0,0,0,0,0,22h31m17.50s,50.28249,+50d16m57.0s,31.39,0.52,-0.54,3.77,,0.01,,A0,,
HIP 112447,HIP 112447,HD 215648,GJ 872 A,2MASS J22464156+1210228,1,1,1,0,1,1,0,22h46m41.44s,12.174084,+12d10m26.7s,16.3,,,4.2,0,0.5,0.01,F7V,4.86,0.1
HIP 112724,HIP 112724,HD 216228,,2MASS J22494081+6612013,0,1,0,0,0,0,0,22h49m40.82s,66.200409,+66d12m01.5s,35.37,0.64,-0.66,3.53,,1.05,,K0 III,,
HIP 112748,HIP 112748,HD 216131,GJ 4298,2MASS J22500017+2436056,0,1,0,0,0,0,0,22h50m00.19s,24.60158,+24d36m05.7s,35.78,0.96,-1.01,3.48,,0.94,,G8 III,,
HD 216437,HIP 113137,HD 216437,,2MASS J22543949-7004254,1,0,1,0,0,1,1,22h54m39.56s,-70.073887,-70d04m26.0s,26.75,0.27,-0.26,6.04,0,0.66,0,G2/3IV,2.44,0.05
51 Peg,HIP 113357,HD 217014,GJ 882,2MASS J22572795+2046077,1,0,1,0,0,1,1,22h57m27.85s,20.768684,+20d46m07.3s,15.61,0.16,-0.15,5.45,0.02,0.67,0.01,G5V,1.45,0.04
Fomalhaut,HIP 113368,HD 216956,GJ 881,2MASS J22573901-2937193,1,1,1,0,1,0,1,22h57m38.83s,-29.621837,-29d37m18.6s,7.7,,,1.23,0.01,0.14,0.01,A3V,16.47,0.04
HD 217107,HIP 113421,HD 217107,,2MASS J22581556-0223432,1,1,1,0,0,1,2,22h58m15.54s,-2.395346,-02d23m43.2s,19.86,0.2,-0.2,6.16,0.02,0.74,0.01,G8IV/V,1.24,0.04
HIP 113576,HIP 113576,HD 217357,GJ 884,2MASS J23001607-2231276,1,0,0,1,0,0,0,23h00m16.69s,-22.524488,-22d31m28.2s,8.22,0.08,-0.08,7.87,0.01,1.38,0.01,K5/M0V,0.1,0.03
HIP 113638,HIP 113638,HD 217364,,2MASS J23005281-5245150,0,1,0,0,0,0,0,23h00m52.81s,-52.754135,-52d45m14.9s,34.49,1.49,-1.63,4.12,,0.98,,G8/K0 III,,
HIP 114570,HIP 114570,HD 219080,GJ 891.1,2MASS J23123299+4924222,1,1,0,0,0,0,0,23h12m32.92s,49.405975,+49d24m21.5s,24.59,0.25,-0.24,4.52,0.02,0.3,0.01,F0V,7.72,0.06
HD 219134,HIP 114622,HD 219134,GJ 892,2MASS J23131692+5710059,1,1,1,1,1,1,6,23h13m14.74s,57.167638,+57d10m03.5s,6.54,0.07,-0.06,5.57,0,1,0,K3.0V,0.31,0.1
HD 219077,HIP 114699,HD 219077,,2MASS J23140661-6242002,1,1,0,0,0,1,1,23h14m05.98s,-62.698971,-62d41m56.3s,29.35,0.3,-0.29,6.12,0.02,0.78,0.02,G8V,3.03,0.11
HIP 114996,HIP 114996,HD 219571,GJ 9818,2MASS J23172579-5814087,1,1,0,0,0,0,0,23h17m25.81s,-58.235928,-58d14m09.3s,23.06,0.23,-0.23,3.99,0.02,0.41,0.01,F3IV/V,11.42,0.07
HD 220773,HIP 115697,HD 220773,,2MASS J23262744+0838376,0,0,1,0,0,1,1,23h26m27.44s,8.643845,+08d38m37.8s,48.43,2.32,-2.57,7.096,0.011,0.613,0.019,G0,,
HIP 116085,HIP 116085,HD 221354,GJ 895.4,2MASS J23312219+5909558,1,0,0,1,0,0,0,23h31m20.95s,59.165242,+59d09m54.9s,16.93,0.17,-0.17,6.75,0.02,0.84,0,K2V,0.58,0.04
HIP 116584,HIP 116584,HD 222107,GJ 9832,2MASS J23373382+4627298,1,1,0,0,0,0,0,23h37m33.71s,46.459176,+46d27m33.0s,26.41,0.27,-0.26,3.85,0.02,0.99,0.02,G8III-IV,25.57,0.06
HD 222155,HIP 116616,HD 222155,,2MASS J23380027+4859475,0,0,1,0,0,1,1,23h38m00.31s,48.996521,+48d59m47.5s,50.45,2,-2.18,7.114,0.01,0.645,0.018,G2 V,,
gam Cep,HIP 116727,HD 222404,GJ 903,2MASS J23392083+7737563,1,1,1,0,0,1,1,23h39m20.98s,77.631967,+77d37m55.1s,14.1,0.14,-0.14,3.21,0.01,1.03,0.01,K1IV,11.84,0.1
HIP 116771,HIP 116771,HD 222368,GJ 904,2MASS J23395706+0537343,1,1,1,0,1,1,0,23h39m56.82s,5.627354,+05d37m38.5s,13.71,,,4.13,0,0.51,0.01,F7V,3.7,0.1
HIP 117712,HIP 117712,HD 223778,GJ 909 A,2MASS J23522534+7532403 A,1,0,0,1,0,0,0,23h52m24.52s,75.544486,+75d32m40.2s,10.89,,,6.38,0.02,0.98,0.01,K3V,0.39,0.1
HIP 118268,HIP 118268,HD 224617,,2MASS J23591867+0651478,0,1,0,0,0,0,0,23h59m18.69s,6.863321,+06d51m48.0s,32.49,0.89,-0.94,4.01,,0.42,,F5,,
GJ 317,,,GJ 317,2MASS J08405923-2327232,0,0,1,0,0,1,1,08h40m59.22s,-23.456289,-23d27m22.6s,15.1,0.22,-0.22,11.97,0.014,1.5,0.044,M2.5 V,,