date,sep_16,sep_50,sep_84,phase_16,phase_50,phase_84,projected_16,projected_50,projected_84
2019.0,3.2638169883,3.43564879093,3.59213972603,21.2648725637,36.3134846938,55.6058410091,383.509940316,632.024926928,890.370488459
2019.1,3.28367583995,3.44930425755,3.60858037704,18.1424628835,33.5804038971,54.3115170291,328.543234719,592.678979292,879.135833845
2019.2,3.30701289144,3.46134428166,3.6262460107,15.6136849355,31.3920158026,53.1850208286,288.839892124,561.426396865,870.423745632
2019.3,3.32424020142,3.47591974213,3.64618821824,13.5273159771,29.962870661,52.4942265238,253.494839792,542.536757661,866.334098384
2019.4,3.34184402888,3.49220129338,3.66659410551,12.7748744953,29.7087801251,52.4148850715,239.572659056,538.910633819,861.945258236
2019.5,3.35806390937,3.50911349941,3.68873322868,13.3197351146,30.3281866232,52.6637733003,250.786092378,549.780492598,863.899936935
2019.6,3.37004556852,3.52580150761,3.71072453479,14.8112510891,31.7921866934,53.2908206315,276.972502972,577.685925845,872.992267511
2019.7,3.38409014851,3.54247065367,3.73366459285,17.0646077437,33.7608321733,53.8477316703,320.941058209,611.907523089,891.173214689
2019.8,3.39490404958,3.5580252194,3.75782709823,20.0354519321,36.0065859626,54.8846692436,377.879333667,651.144822269,908.876130657
2019.9,3.40741683378,3.57341251293,3.78226619074,23.5469528469,38.6833384281,56.1354461314,438.772098871,693.321413701,928.53399769
2020.0,3.41655317143,3.58477088058,3.80387949151,27.3176793802,41.665437188,57.8728334233,505.322231916,737.183088536,955.6958721
2020.1,3.42452908957,3.59418011609,3.82377184814,31.1010078855,44.7592525559,59.9467156594,571.777699119,783.918781413,979.110015485
2020.2,3.43147965689,3.60334190159,3.84355684722,34.9786171243,48.0339425528,62.1018377791,636.071249851,831.449105998,1006.89208412
2020.3,3.4401342594,3.61368549733,3.86176874694,38.9739817218,51.4006804562,64.4167558557,700.800184671,876.741975892,1035.18571431
2020.4,3.44493427389,3.62516362101,3.87995326188,43.0068323739,54.76777132,66.8446273786,760.697806528,920.356320638,1058.42627433
2020.5,3.44885088526,3.63423047085,3.89468250516,47.0281187861,58.2409645588,69.3483626291,817.299595185,957.221801406,1083.58022977
2020.6,3.4516682436,3.64429452597,3.90721563954,51.1782297232,61.7876088362,72.0210322602,870.186044219,990.507438985,1112.10203821
2020.7,3.45322434095,3.65331408083,3.91858475408,55.3141459402,65.3319628676,74.6057796053,917.093531369,1022.11990583,1135.87262192
2020.8,3.455631012,3.65954617107,3.92897377861,59.5016710408,68.8992073547,77.3742548611,957.69699502,1050.77985677,1160.21419309
2020.9,3.45845525099,3.66725656162,3.93730516756,63.5769242265,72.3500837324,80.2338853726,992.415715002,1075.66017738,1179.38106025
2021.0,3.45825699023,3.67273656746,3.94430891855,67.6694859901,75.730035642,83.2712933516,1021.11951086,1095.68995498,1195.81852788
2021.1,3.45698021242,3.6750124131,3.94829562025,71.706385547,79.1089709277,86.4353520606,1040.6300498,1110.79201571,1207.75199394
2021.2,3.45590426488,3.67594973583,3.95100542984,75.7560060204,82.6503098383,89.6037866333,1055.16693786,1123.82212246,1215.16285848
2021.3,3.45514488023,3.67711188213,3.95303640532,79.6514568467,86.1036790274,93.1567313038,1064.73241223,1131.77597395,1219.43227817
2021.4,3.45353256724,3.67750894814,3.9495573229,83.4223047932,89.496215559,96.6422135405,1069.53528928,1135.49052983,1218.69914835
2021.5,3.45242195633,3.67601114407,3.94454125314,86.9745857061,92.8542157554,100.287484522,1068.71037714,1133.64134083,1213.16750727
2021.6,3.45210581883,3.67447910616,3.93747664452,90.441175203,96.3852573337,103.92659611,1062.57971561,1125.76026229,1204.14666647
2021.7,3.44817914296,3.66837180681,3.93113958299,93.8331553288,99.9818563868,107.635736223,1050.99373182,1113.44928113,1191.4958599
2021.8,3.44412652834,3.66170089346,3.9223480824,97.029770234,103.552272453,111.431245737,1034.48050232,1100.24351973,1175.87278873
2021.9,3.43883695331,3.65310614805,3.91159730219,100.048807025,107.243583876,115.313752264,1009.32967939,1077.34741406,1156.24897371
2022.0,3.43266351956,3.641316409,3.89810146022,103.029627839,110.977826903,119.171376688,975.825506607,1051.50472013,1132.57932269
2022.1,3.42859212362,3.63126740473,3.88229084293,105.991468369,114.786185461,123.041247533,935.074965683,1025.08505301,1109.78534766
2022.2,3.42278643562,3.62134014622,3.86655724933,108.705823398,118.463359769,127.030725528,889.283276636,993.806921963,1084.31024531
2022.3,3.4152584518,3.61363255583,3.84940511555,111.32567383,122.195853151,131.171197268,838.774912491,958.306690306,1058.74823769
2022.4,3.40910109251,3.60344750066,3.83059430548,113.900379128,125.836325032,135.273652597,782.884107254,916.486965376,1029.69805621
2022.5,3.40119188575,3.59354420902,3.8097393821,116.271892322,129.445366698,139.447474122,722.180239495,870.73661929,1003.53498135
2022.6,3.39545886071,3.58263661379,3.78930437011,118.681042317,132.956966043,143.524745073,657.363477812,821.973841836,973.96832557
2022.7,3.38588068863,3.5683066848,3.76884193839,120.949165291,136.277037897,147.766150542,588.630688465,771.801063847,944.520303828
2022.8,3.3748088686,3.55465773986,3.75081430291,122.807000327,139.463595956,151.832859076,518.80534571,722.122095282,918.40213828
2022.9,3.36503624205,3.53879650746,3.72954950369,124.433799163,142.49491982,155.788249831,449.209115511,671.580164835,897.572554536
2023.0,3.35095217474,3.52070950602,3.7084928536,125.911429004,145.33622789,159.55094971,381.191577589,623.622466515,878.882000596
2023.1,3.33145590672,3.50455700182,3.68992279164,127.123835943,147.763157279,163.028770663,318.593001212,581.112013602,861.707537579
2023.2,3.31227684243,3.48675801431,3.6727196291,127.967045977,149.634753721,165.790474225,265.610976171,543.938525514,851.426737903
2023.3,3.29529974094,3.46861391319,3.65625538573,128.466331634,150.938640517,167.60430502,232.218970312,520.025021385,843.592804811
2023.4,3.27398435057,3.45174426542,3.63720493837,128.394172227,151.430900754,168.246483103,221.04972529,511.560115767,839.515637855
2023.5,3.24919724605,3.43655268806,3.62325752693,128.002760655,150.610383144,167.43192175,234.29634749,517.588095771,838.223416253
2023.6,3.22306854199,3.42057041241,3.61087681828,127.504222729,148.845965493,165.070976565,273.726654976,542.898151765,842.457493354
2023.7,3.19876363577,3.40603161548,3.59931238873,126.33247374,146.376953172,161.843015293,331.850340929,578.217577581,850.952281244
2023.8,3.17611921443,3.39425754235,3.59173802925,124.900432691,143.267998269,158.118397121,394.531498298,619.241962848,862.63923173
2023.9,3.15437762649,3.38046755569,3.58250959074,123.09679861,139.737293252,154.038636291,461.048972048,665.9918816,876.433293943
2024.0,3.1276380676,3.36774077407,3.57179898568,120.979168315,135.948251569,149.796717697,526.161452417,714.87739631,891.665366833
2024.1,3.10569150664,3.35813205701,3.56201405149,118.41301869,132.051545622,145.29734079,592.240646156,761.288443533,906.834303506
2024.2,3.0836025222,3.34733481229,3.55430458886,115.574670452,127.905610193,140.527205495,655.36465647,807.453050848,930.235249046
2024.3,3.0670094713,3.33703233731,3.54695332977,112.412687351,123.715660864,135.585755622,715.173440419,848.585846505,956.682339858
2024.4,3.05718267634,3.32984673272,3.53983145561,108.72426591,119.392782481,130.669924841,769.148312084,886.130578348,982.489198904
2024.5,3.0469422534,3.32365659845,3.5310039377,105.300479662,115.093639828,125.663518907,817.817598152,917.983921702,1005.50804523
2024.6,3.04359479014,3.31802842967,3.52295514743,101.950262891,110.51750871,120.679657701,856.822332025,945.66951851,1024.39419728
2024.7,3.03885281087,3.31209554297,3.51762156843,97.9492068622,105.990699959,115.812786137,885.738737434,969.966094718,1042.30961086
2024.8,3.03672778769,3.3074529583,3.51630522801,93.7719891848,101.570739481,111.026675366,910.187569418,990.332337354,1057.98119593
2024.9,3.03771403096,3.30497149602,3.51461084037,89.1594751334,97.3018827839,106.365217609,924.218982158,1006.08147255,1068.46361427
2025.0,3.04333782212,3.30406085641,3.51376630069,84.5226174549,93.2074122648,101.719797811,929.957305832,1015.45094987,1074.65068971
2025.1,3.04917739975,3.30700354769,3.51119011551,79.7235713051,88.9243688519,97.1941961078,927.829382255,1018.72266017,1080.61061309
2025.2,3.05995157087,3.30948241418,3.50829114124,74.6406531961,84.6995622386,92.7863372107,918.666723454,1014.83472688,1081.31825854
2025.3,3.06954979682,3.31488451013,3.50723176005,69.6273004855,80.3401452502,88.800738344,900.375723255,1005.80892651,1077.91557078
2025.4,3.08089354371,3.3212570076,3.50793888323,64.5777010167,76.2884102677,84.8418128134,875.46385604,990.872195132,1070.28876645
2025.5,3.09467707363,3.3287257769,3.50869120112,59.5264469216,71.8532489802,81.1754014645,842.76334096,972.734993043,1060.05472315
2025.6,3.11021983129,3.3376197773,3.51285134404,54.4704714229,67.4032424324,77.7403745061,802.558290343,948.229748804,1046.68142669
2025.7,3.12603051278,3.34898374709,3.51674444355,49.494033205,63.0466059395,74.2693776254,756.236201713,918.681738582,1030.35422381
2025.8,3.14296984772,3.35898758372,3.52248408121,44.6446237881,58.8140809838,71.3422210487,707.142027369,884.610330176,1012.06185182
2025.9,3.16276683114,3.37147722738,3.53186948622,40.015455142,54.6625966665,68.6191706663,652.742320026,848.178076255,993.06591426
2026.0,3.1822383071,3.38436250885,3.54297866693,35.4652070161,50.6174195316,65.8232767012,596.524999707,808.211588972,972.573783099
2026.1,3.20587561952,3.39853238148,3.55771152858,31.1486384814,46.7499585577,62.9652960903,535.925095951,765.279086913,951.670724959
2026.2,3.22914796887,3.41263144592,3.5747660094,27.1867544636,43.0570790895,60.3749539357,475.739960414,722.396736738,933.094618624
2026.3,3.25015777976,3.42664803731,3.59004485383,23.4168522605,39.8144342318,58.1251333734,418.150368659,679.15416223,915.178260809
2026.4,3.27153593674,3.44129151514,3.60195609033,20.1109137091,36.8567051777,56.2526098822,365.906008022,639.295195077,899.597262369
2026.5,3.29348392782,3.45657271159,3.62176394655,17.6136420226,34.3573081575,54.9620340484,322.442948458,605.738872623,885.055507807
2026.6,3.31573526506,3.46744519725,3.639683277,15.5473920514,32.5076664275,53.9081872671,287.719175488,579.582639919,876.251823428
2026.7,3.33368088435,3.48310675699,3.65694078196,14.0636321608,31.2964891982,53.3270657755,263.179567483,565.141662494,869.980233715
2026.8,3.34998580794,3.49895793971,3.67871230101,13.7894812936,30.9199862622,53.4140043981,258.717804136,561.758237554,871.360249986
2026.9,3.36312720952,3.51566670166,3.699861473,14.5041779831,31.829074567,53.5412570163,272.252102449,576.827078298,877.937926033
2027.0,3.3768942772,3.53183651848,3.72207273098,15.9146802284,33.2699674159,53.8677656891,299.935120243,603.723257114,890.865790318
2027.1,3.38864507673,3.54725966846,3.74549943122,17.8913303277,35.1922004149,54.5434407847,339.564685836,637.148706009,906.874223017
2027.2,3.40024241716,3.56279890792,3.76924565924,20.6200680885,37.5944934485,55.7265798115,387.928462085,673.519966772,923.488735829
2027.3,3.41075944563,3.57803228258,3.79199170916,23.9296366913,40.2597282219,57.4120562479,448.317243316,714.138984212,947.272896917
2027.4,3.41770793498,3.58846879715,3.81172827186,27.502306413,43.1152920068,59.3673551357,510.890449115,759.067644634,970.255118176
2027.5,3.42572781657,3.59785009665,3.83098375483,31.3016359316,46.2536555268,61.49733305,574.791472482,804.543300338,997.50807176
2027.6,3.4342284185,3.60653286555,3.85165212564,35.1089763166,49.4680333394,63.7573304809,638.150922467,848.425843193,1024.87258751
2027.7,3.44169741354,3.61708987601,3.87017567953,39.0063059156,52.7270830631,66.148364891,700.144181563,892.009702862,1052.03555102
2027.8,3.44474241276,3.62761839903,3.8867487247,42.954274012,56.1614884152,68.5135603368,757.685296646,930.258529648,1074.56912605
2027.9,3.44853455817,3.63624741755,3.89928769177,46.9678210478,59.6351780563,71.1932477403,812.570179312,963.716604056,1101.08290571
2028.0,3.45092566842,3.64556104485,3.91119050044,51.015909559,63.0341376547,73.747745459,863.79244292,999.597920078,1123.65067833
2028.1,3.45348568576,3.65393488856,3.92264068649,54.9522279341,66.4216259985,76.5712439563,910.290700512,1028.38721466,1150.22863647
2028.2,3.45486496431,3.66165027245,3.93210057609,58.9247519243,69.8925111155,79.277825104,951.404286069,1054.10682242,1169.5987372
2028.3,3.45770662557,3.66734348037,3.93851180333,62.9366628389,73.2469052864,82.517771108,987.969135443,1078.44499435,1186.574097
2028.4,3.45924280187,3.67212009744,3.94478781368,67.0240664657,76.7127429795,85.7047840217,1018.12786695,1095.50003613,1199.84046554
2028.5,3.45727802969,3.67436563333,3.94787266215,71.0452557722,80.0706535853,88.9828237173,1037.89277849,1110.02229934,1208.75367983
2028.6,3.45606401092,3.67536270239,3.95130770593,74.9327031013,83.5524187268,92.5762125498,1051.70776112,1121.66320595,1213.45917477
2028.7,3.45495643299,3.67579105737,3.95019138005,78.8842228619,86.8640302347,96.1886455306,1060.32126265,1128.48354848,1213.87335299
2028.8,3.45416383606,3.67538894622,3.94644044632,82.6507085719,90.141746856,99.6256671732,1065.12574062,1130.02846689,1210.24062972
2028.9,3.45234774142,3.67369770371,3.94139589736,85.869153164,93.605907663,103.135497996,1062.91113043,1126.78649707,1204.82251435
2029.0,3.45039203558,3.67116450855,3.93501048191,89.2440084356,97.1579558341,106.734029668,1056.09677469,1118.92677592,1196.57971128
2029.1,3.44649221081,3.66542554568,3.92733147546,92.727042094,100.727970246,110.460142539,1041.74174861,1108.6752026,1184.00824676
2029.2,3.43954899013,3.65894674871,3.91785865254,95.9843095164,104.460282897,114.207383146,1018.41565461,1091.3385203,1169.5941733
2029.3,3.43464024736,3.65074175477,3.90546765435,99.0110078906,107.959079843,118.021543228,989.97214292,1068.58215488,1150.74729329
2029.4,3.43048974689,3.63904484458,3.89134961821,101.855598629,111.580466992,121.777610561,953.600740693,1044.07942491,1130.67145304
2029.5,3.42575314903,3.62595072229,3.87554779943,104.88291129,115.259790875,125.588153241,910.659121192,1018.20325623,1109.4408973
2029.6,3.41932854714,3.61612409868,3.85753909302,107.924200488,118.977494685,129.517728894,861.164477511,986.778890364,1086.64921609
2029.7,3.41252378758,3.60772530017,3.83876366846,110.7438932,122.63619009,133.562751743,807.184451573,951.523716186,1062.48862579
2029.8,3.40485543649,3.59769371757,3.81972236127,113.241973125,126.196606465,137.527364098,750.738094857,910.22656111,1033.53408794
2029.9,3.39692536554,3.58870244324,3.80027615666,115.953286935,129.676521672,141.528088857,689.385624053,865.207514227,1007.29745128
